E; project; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; vpl; 134653.5; cost; 1170900
E; project; Construção de cerca e estacionamento em uma SE; vpl; 1867.91666666667; cost; 75153
E; project; Construção de Estacionamento em UHE; vpl; 4277; cost; 26541
E; project; Construção de travessias sobre Canaletas em uma SE de São José; vpl; 4584454.25; cost; 182365487
E; project; Contr. de uma estrutura laboratorial de sistemas eólicos; vpl; 250000; cost; 1900000
E; project; Instalação da LT ARARAQUARA/CAMPINAS 500KV; vpl; 809975.11; cost; 1028939
E; project; Instalação de Sistema Optico - SE; vpl; 125000; cost; 31000000
E; project; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; vpl; 8774.42; cost; 12421.6
E; project; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; vpl; 7926.64; cost; 18500
E; project; Montagem e Instal. de Sala Cofre em E.Central; vpl; 5614; cost; 35142
E; project; Obra Vestiário Academia da empresa; vpl; 3514; cost; 22014
E; project; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; vpl; 4534.33333333333; cost; 92931
E; project; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; vpl; 1388.31; cost; 351686
E; project; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; vpl; 1842; cost; 3000
E; project; Construção de garagem com escritório para órgão na UTE de Campos; vpl; 8530.41666666667; cost; 256317
E; project; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; vpl; 1278.5; cost; 33280.53
E; project; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; vpl; 211780.583333333; cost; 5883827
E; project; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; vpl; 456617; cost; 2123800
E; project; Obra de ampliação de Posto Médico em SE localizada em Vitoria; vpl; 121962; cost; 13214254
E; project; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; vpl; 816666.64; cost; 5000000
E; project; Implantação/Aquisição/Substituição de Pára-raios; vpl; 85000; cost; 418000
E; project; Implantação de Bacia de contenção nas instalações de uma SE; vpl; 585.0475; cost; 1728446
E; project; Implantação de telefonia IP em SE´s; vpl; 333333.333333333; cost; 2900000
E; project; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; vpl; 37982.5618; cost; 399816.44
E; project; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); vpl; 468512.833333333; cost; 9088385
E; risk; Não renovação das concessões de Geração e Transmissão; probability; 35
E; risk; Regulação do preço de venda de energia ; probability; 34
E; risk; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; probability; 45
E; risk; Ingerência Política ; probability; 47
E; risk; Não atendimento de exigências de órgãos regulamentadores e fiscalizadores ; probability; 37
E; risk; Atraso na obtenção de licenças / autorizações ambientais ; probability; 36
E; risk; Falha no acompanhamento das mudanças da legislação de interesse da empresa; probability; 52
E; risk; Falta de renovação e recomposição da força de trabalho ; probability; 49
E; risk; Cenários internos não alinhados com o planejamento estratégico; probability; 37
E; risk; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; probability; 46
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Obra de ampliação de Posto Médico em SE localizada em Vitoria; impact; -33035.635
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; impact; -12500
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Implantação/Aquisição/Substituição de Pára-raios; impact; -1045
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Implantação de Bacia de contenção nas instalações de uma SE; impact; -4321.115
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Implantação de telefonia IP em SE´s; impact; -7250
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; impact; -999.5411
R; affects; Falha no acompanhamento das mudanças da legislação de interesse da empresa; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); impact; -22720.9625
R; affects; Falta de renovação e recomposição da força de trabalho ; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; impact; -4683.6
R; affects; Falta de renovação e recomposição da força de trabalho ; Construção de cerca e estacionamento em uma SE; impact; -300.612
R; affects; Falta de renovação e recomposição da força de trabalho ; Construção de Estacionamento em UHE; impact; -106.164
R; affects; Falta de renovação e recomposição da força de trabalho ; Construção de travessias sobre Canaletas em uma SE de São José; impact; -729461.948
R; affects; Falta de renovação e recomposição da força de trabalho ; Contr. de uma estrutura laboratorial de sistemas eólicos; impact; -7600
R; affects; Falta de renovação e recomposição da força de trabalho ; Instalação da LT ARARAQUARA/CAMPINAS 500KV; impact; -4115.756
R; affects; Falta de renovação e recomposição da força de trabalho ; Instalação de Sistema Optico - SE; impact; -124000
R; affects; Falta de renovação e recomposição da força de trabalho ; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; impact; -49.6864
R; affects; Falta de renovação e recomposição da força de trabalho ; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; impact; -74
R; affects; Falta de renovação e recomposição da força de trabalho ; Montagem e Instal. de Sala Cofre em E.Central; impact; -140.568
R; affects; Falta de renovação e recomposição da força de trabalho ; Obra Vestiário Academia da empresa; impact; -88.056
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; impact; -371.724
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; impact; -1406.744
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; impact; -12
R; affects; Falta de renovação e recomposição da força de trabalho ; Construção de garagem com escritório para órgão na UTE de Campos; impact; -1025.268
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; impact; -133.12212
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; impact; -23535.308
R; affects; Falta de renovação e recomposição da força de trabalho ; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; impact; -8495.2
R; affects; Falta de renovação e recomposição da força de trabalho ; Obra de ampliação de Posto Médico em SE localizada em Vitoria; impact; -52857.016
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; impact; -20000
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação/Aquisição/Substituição de Pára-raios; impact; -1672
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de Bacia de contenção nas instalações de uma SE; impact; -6913.784
R; affects; Falta de renovação e recomposição da força de trabalho ; Implantação de telefonia IP em SE´s; impact; -11600
R; affects; Falta de renovação e recomposição da força de trabalho ; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; impact; -1599.26576
R; affects; Falta de renovação e recomposição da força de trabalho ; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); impact; -36353.54
R; affects; Cenários internos não alinhados com o planejamento estratégico; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; impact; -5854.5
R; affects; Cenários internos não alinhados com o planejamento estratégico; Construção de cerca e estacionamento em uma SE; impact; -375.765
R; affects; Cenários internos não alinhados com o planejamento estratégico; Construção de Estacionamento em UHE; impact; -132.705
R; affects; Cenários internos não alinhados com o planejamento estratégico; Construção de travessias sobre Canaletas em uma SE de São José; impact; -911827.435
R; affects; Cenários internos não alinhados com o planejamento estratégico; Contr. de uma estrutura laboratorial de sistemas eólicos; impact; -9500
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instalação da LT ARARAQUARA/CAMPINAS 500KV; impact; -5144.695
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instalação de Sistema Optico - SE; impact; -155000
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; impact; -62.108
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; impact; -92.5
R; affects; Cenários internos não alinhados com o planejamento estratégico; Montagem e Instal. de Sala Cofre em E.Central; impact; -175.71
R; affects; Cenários internos não alinhados com o planejamento estratégico; Obra Vestiário Academia da empresa; impact; -110.07
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; impact; -464.655
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; impact; -1758.43
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; impact; -15
R; affects; Cenários internos não alinhados com o planejamento estratégico; Construção de garagem com escritório para órgão na UTE de Campos; impact; -1281.585
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; impact; -166.40265
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; impact; -29419.135
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; impact; -10619
R; affects; Cenários internos não alinhados com o planejamento estratégico; Obra de ampliação de Posto Médico em SE localizada em Vitoria; impact; -66071.27
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; impact; -25000
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação/Aquisição/Substituição de Pára-raios; impact; -2090
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de Bacia de contenção nas instalações de uma SE; impact; -8642.23
R; affects; Cenários internos não alinhados com o planejamento estratégico; Implantação de telefonia IP em SE´s; impact; -14500
R; affects; Cenários internos não alinhados com o planejamento estratégico; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; impact; -1999.0822
R; affects; Cenários internos não alinhados com o planejamento estratégico; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); impact; -45441.925
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Constr. de um Reator Saturado em 13,8kV no sist. de Transm. para aval. de desemp.; impact; -4098.15
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Construção de cerca e estacionamento em uma SE; impact; -263.0355
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Construção de Estacionamento em UHE; impact; -92.8935
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Construção de travessias sobre Canaletas em uma SE de São José; impact; -638279.2045
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Contr. de uma estrutura laboratorial de sistemas eólicos; impact; -6650
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instalação da LT ARARAQUARA/CAMPINAS 500KV; impact; -3601.2865
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instalação de Sistema Optico - SE; impact; -108500
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instalação do Sist. Ótico para a LT CAMPOS-R.LEAO 138KV; impact; -43.4756
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instalação do Sist. Ótico para a LT R.LEAO-MAGE 138KV; impact; -64.75
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Montagem e Instal. de Sala Cofre em E.Central; impact; -122.997
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Obra Vestiário Academia da empresa; impact; -77.049
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de SIST. MICROONDAS - B.ALTO E NIQUELANDIA; impact; -325.2585
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de SIST. MICROONDAS - DIGITAL. ROTA ITAIPU; impact; -1230.901
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de SIST. MICROONDAS - SE STA CRUZ / ANGRA; impact; -10.5
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Construção de garagem com escritório para órgão na UTE de Campos; impact; -897.1095
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de Sist. Ar condicionado e ventilação em escritório de UTE em S. Cruz; impact; -116.481855
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de Ciclo Combinado em UTE localizada em Santa Cruz; impact; -20593.3945
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instalação de Combustor Piloto de Leito Fluidizado Circulante Multicombustível; impact; -7433.3
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Obra de ampliação de Posto Médico em SE localizada em Vitoria; impact; -46249.889
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação/Aquisição/Substituição de Sist de Combate a Incêndio; impact; -17500
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação/Aquisição/Substituição de Pára-raios; impact; -1463
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de Bacia de contenção nas instalações de uma SE; impact; -6049.561
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Implantação de telefonia IP em SE´s; impact; -10150
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Instal. Módulo de Geração Elétrica para interligação a Turbina Eólica do tipo Multipás; impact; -1399.35754
R; affects; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; Construção do Sistema de transmissão MACAE(RJ)-CAMPOS(RJ) (Parte III); impact; -31809.3475
